ASV;assignmentQual;taxID;superkingdom;phylum;class;order;family;genus;species
ASV_82;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_83;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_84;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_85;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_86;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_87;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_88;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_89;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_90;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_91;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_92;High;1812983;Eukaryota;Annelida;Clitellata;Enchytraeida;Enchytraeidae;Lumbricillus;Lumbricillus rubidus
ASV_93;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_94;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_96;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_97;Low;40324;Bacteria;Pseudomonadota;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Stenotrophomonas;Stenotrophomonas maltophilia
ASV_99;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_100;Low;40324;Bacteria;Pseudomonadota;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Stenotrophomonas;Stenotrophomonas maltophilia
ASV_101;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_102;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_103;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_104;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_105;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_106;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_107;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_108;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_109;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_110;Low;65665;Eukaryota;Discosea;;Longamoebia;Acanthamoebidae;Acanthamoeba;Acanthamoeba tubiashi
ASV_111;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_112;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_114;Low;335406;Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingosinicellaceae;Sphingosinicella;Sphingosinicella microcystinivorans
ASV_116;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_118;None;None;NA;NA;NA;NA;NA;NA;NA
